국가,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수
미국????,43725604,9857502,22377,706058,33162044,1.6,75.8,132100,331002651
인도????,33652745,303446,8944,446948,32902351,1.3,97.8,24386,1380004385
브라질????,21343304,415150,8318,594246,20333908,2.8,95.3,100411,212559417
영국????,7631233,1335993,916,136105,6159135,1.8,80.7,112412,67886011
러시아????,7398415,604387,2300,203095,6590933,2.7,89.1,50697,145934462
터키????,7013639,478301,633,62938,6472400,0.9,92.3,83160,84339067
프랑스????,6989613,153161,1609,116449,6720003,1.7,96.1,107082,65273511
이란????,5519728,479668,6411,119082,4920978,2.2,89.2,65717,83992949
아르헨티나????,5249840,25138,1248,114849,5109853,2.2,97.3,116158,45195774
콜롬비아????,4950253,34023,542,126102,4790128,2.5,96.8,97287,50882891
스페인????,4946601,152205,837,86229,4708167,1.7,95.2,105799,46754778
이탈리아????,4657215,102574,481,130653,4423988,2.8,95,77027,60461826
인도네시아????,4206253,44071,N/A,141381,4020801,3.4,95.6,15378,273523615
독일????,4200990,155024,1435,93966,3952000,2.2,94.1,50141,83783942
멕시코????,3628812,375213,4798,275299,2978300,7.6,82.1,28145,128932753
폴란드????,2902591,166244,147,75571,2660776,2.6,91.7,76694,37846611
남아프리카 공화국????,2895976,50701,546,87001,2758274,3,95.2,48829,59308690
필리핀????,2470235,165110,3170,37405,2267720,1.5,91.8,22543,109581078
우크라이나????,2387750,88984,177,55557,2243209,2.3,93.9,54597,43733762
말레이시아????,2185131,191434,1070,25159,1968538,1.2,90.1,67513,32365999
페루????,2172261,N/A,1043,199228,N/A,9.2,N/A,65882,32971854
네덜란드????,1994901,N/A,181,18149,N/A,0.9,N/A,116423,17134872
이라크????,1991628,77143,503,22072,1892413,1.1,95,49515,40222493
일본????*,1693350,47466,1189,17478,1628406,1,96.2,13389,126476461
체코????,1688953,6047,27,30452,1652454,1.8,97.8,157714,10708981
칠레????,1650985,7063,394,37432,1606490,2.3,97.3,86366,19116201
캐나다????,1600901,45688,638,27640,1527573,1.7,95.4,42417,37742154
태국????,1561638,122463,4387,16268,1422907,1,91.1,22373,69799978
방글라데시????,1550371,12811,1641,27393,1510167,1.8,97.4,9414,164689383
이스라엘????,1262945,62993,694,7649,1192303,0.6,94.4,145912,8655535
파키스탄????,1236888,52042,4267,27524,1157322,2.2,93.6,5600,220892340
벨기에????,1233723,63499,216,25554,1144670,2.1,92.8,106451,11589623
루마니아????,1187773,55407,1195,36230,1096136,3.1,92.3,61742,19237691
스웨덴????,1149407,N/A,42,14781,N/A,1.3,N/A,113811,10099265
포르투갈????,1066346,31481,83,17952,1016913,1.7,95.4,104577,10196709
모로코????,928571,17187,613,14132,897252,1.5,96.6,25157,36910560
세르비아????,905677,121809,212,8008,775860,0.9,85.7,103656,8737371
카자흐스탄????,877112,55396,221,11035,810681,1.3,92.4,46713,18776707
쿠바????,847494,35377,369,7163,804954,0.8,95,74823,11326616
스위스????,833383,68138,209,11053,754192,1.3,90.5,96293,8654622
헝가리????,820078,8133,54,30151,781794,3.7,95.3,84891,9660351
요르단????,818796,12295,484,10669,795832,1.3,97.2,80249,10203134
네팔????,790662,19700,N/A,11087,759875,1.4,96.1,27136,29136808
베트남????,746678,211829,N/A,18400,516449,2.5,69.2,7671,97338579
아랍에미레이트????,734596,5701,N/A,2089,726806,0.3,98.9,74274,9890402
오스트리아????,734302,20998,227,10961,702343,1.5,95.6,81531,9006398
튀니지????,704914,7422,332,24732,672760,3.5,95.4,59644,11818619
그리스????,644869,27417,333,14655,602797,2.3,93.5,61869,10423054
레바논????,621735,24881,200,8277,588577,1.3,94.7,91091,6825445
조지아????,605360,23031,N/A,8787,573542,1.5,94.7,151751,3989167
과테말라????,548604,32907,5,13331,502366,2.4,91.6,30622,17915568
사우디아라비아????,546882,2296,255,8694,535892,1.6,98,15709,34813871
벨라루스????,528229,12482,N/A,4081,511666,0.8,96.9,55901,9449323
코스타리카????,521182,94789,459,6189,420204,1.2,80.6,102311,5094118
스리랑카????,512531,46233,N/A,12609,453689,2.5,88.5,23935,21413249
에콰도르????,507858,31258,759,32720,443880,6.4,87.4,28785,17643054
볼리비아????,498790,23179,220,18698,456913,3.7,91.6,42730,11673021
불가리아????,492365,42409,418,20449,429507,4.2,87.2,70860,6948445
아제르바이잔????,479814,24334,N/A,6433,449047,1.3,93.6,47323,10139177
파나마????,465993,3673,61,7201,455119,1.5,97.7,108000,4314767
파라과이????,459804,1030,23,16142,442632,3.5,96.3,64466,7132538
미얀마????,456620,29122,N/A,17465,410033,3.8,89.8,8392,54409800
쿠웨이트????,411447,664,13,2445,408338,0.6,99.2,96345,4270571
슬로바키아????,407799,9521,101,12596,385682,3.1,94.6,74693,5459642
크로아티아????,399054,8577,94,8580,381897,2.2,95.7,97205,4105267
팔레스타인????,395677,28483,72,4018,363176,1,91.8,77562,5101414
우루과이????,388424,1441,14,6052,380931,1.6,98.1,111818,3473730
아일랜드????,383218,42185,65,5209,335824,1.4,87.6,77609,4937786
온두라스????,363017,244399,451,9679,108939,2.7,30,36651,9904607
베네수엘라????,362040,12168,681,4395,345477,1.2,95.4,12732,28435940
도미니카 공화국????,356934,4842,174,4035,348057,1.1,97.5,32903,10847910
덴마크????,356684,4648,18,2640,349396,0.7,98,61580,5792202
에티오피아????,340845,27620,793,5369,307856,1.6,90.3,2965,114963588
리비아????,335991,77879,N/A,4588,253524,1.4,75.5,48898,6871292
리투아니아????,324329,20548,196,4896,298885,1.5,92.2,119138,2722289
오만????,303551,4290,23,4093,295168,1.3,97.2,59443,5106626
대한민국????,301172,30582,320,2450,268140,0.8,89,5874,51269185
이집트????,300945,29736,90,17149,254060,5.7,84.4,2941,102334404
몽골????,294775,8857,192,1206,284712,0.4,96.6,89917,3278290
슬로베니아????,289225,13606,75,4531,271088,1.6,93.7,139122,2078938
몰도바????,288377,9021,169,6679,272677,2.3,94.6,71487,4033963
바레인????,274745,730,3,1389,272626,0.5,99.2,161465,1701575
아르메니아????,257620,13268,N/A,5239,239113,2,92.8,86939,2963243
케냐????,248392,3566,92,5096,239730,2.1,96.5,4619,53771296
카타르????,236231,1493,18,604,234134,0.3,99.1,81995,2881053
보스니아 헤르체고비나????,230801,28161,N/A,10422,192218,4.5,83.3,70349,3280819
잠비아????,208829,514,47,3645,204670,1.7,98,11359,18383955
나이지리아????,204201,9107,11,2673,192421,1.3,94.2,991,206139589
알제리????,202574,58070,13,5767,138737,2.8,68.5,4620,43851044
북마케도니아????,189551,12240,N/A,6577,170734,3.5,90.1,90983,2083374
노르웨이????,186554,96752,19,850,88952,0.5,47.7,34412,5421241
키르기스스탄????,178202,2839,131,2599,172764,1.5,96.9,27314,6524195
보츠와나????,176427,2016,1,2360,172051,1.3,97.5,75023,2351627
우즈베키스탄????,171588,4357,23,1218,166013,0.7,96.8,5127,33469203
알바니아????,167354,11945,3,2629,152780,1.6,91.3,58154,2877797
아프가니스탄????,155132,24295,1124,7198,123639,4.6,79.7,3985,38928346
라트비아????,154219,8243,45,2682,143294,1.7,92.9,81762,1886198
에스토니아????,153071,9453,19,1343,142275,0.9,92.9,115392,1326535
모잠비크????,150494,2093,32,1909,146492,1.3,97.3,4815,31255435
핀란드????,138578,91516,21,1062,46000,0.8,33.2,25011,5540720
짐바브웨????,129505,2774,12,4603,122128,3.6,94.3,8713,14862924
몬테네그로????,129285,7803,11,1892,119590,1.5,92.5,205846,628066
나미비아????,127227,1045,16,3492,122690,2.7,96.4,50072,2540905
가나????,126621,3597,42,1146,121878,0.9,96.3,4075,31072940
우간다????,123066,23928,349,3143,95995,2.6,78,2690,45741007
키프로스????,117967,26660,39,552,90755,0.5,76.9,97707,1207359
캄보디아????,108257,5857,N/A,2218,100182,2,92.5,6475,16718965
코소보????,107507,-85,N/A,2269,105323,2.1,98,59381,1810463
엘살바도르????,102024,13869,127,3174,84981,3.1,83.3,15729,6486205
호주????,97550,21538,301,1231,74781,1.3,76.7,3826,25499884
르완다????,96727,50020,11,1248,45459,1.3,47,7468,12952218
중국????,96015,1013,N/A,4636,90366,4.8,94.1,67,1439323776
싱가포르????,85953,11742,23,76,74135,0.1,86.3,14692,5850342
카메룬????,85414,3613,152,1368,80433,1.6,94.2,3218,26545863
몰디브????,84290,1627,23,231,82432,0.3,97.8,155936,540544
자메이카????,82349,28654,31,1824,51871,2.2,63,27810,2961167
룩셈부르크????,77762,1162,8,835,75765,1.1,97.4,124225,625978
세네갈????,73728,486,9,1855,71387,2.5,96.8,4403,16743927
말라위????,61497,4748,67,2275,54474,3.7,88.6,3215,19129952
코트디부아르????,59778,1903,N/A,593,57282,1,95.8,2266,26378274
콩고민주공화국????,56617,24676,N/A,1083,30858,1.9,54.5,632,89561403
앙골라????,54795,6114,8,1487,47194,2.7,86.1,1667,32866272
레위니옹????,53241,868,33,363,52010,0.7,97.7,59466,895312
과들루프????,53140,50200,23,690,2250,1.3,4.2,132809,400124
피지????,50701,13503,39,590,36608,1.2,72.2,56558,896445
트리니다드 토바고????,49822,4305,22,1451,44066,2.9,88.4,35600,1399488
에스와티니????,45742,726,10,1212,43804,2.6,95.8,39427,1160164
마다가스카르????,42898,618,3,958,41322,2.2,96.3,1549,27691018
마르티니크????,40545,39859,1,582,104,1.4,0.3,108044,375265
프랑스령 폴리네시아????,40178,6067,30,611,33500,1.5,83.4,143029,280908
수리남????,39908,12199,19,845,26864,2.1,67.3,68029,586632
프랑스령 기아나????,39790,29539,34,256,9995,0.6,25.1,133219,298682
수단????,38201,3269,N/A,2894,32038,7.6,83.9,871,43849260
카보베르데????,37400,690,23,334,36376,0.9,97.3,67268,555987
몰타 공화국????,37077,839,4,457,35781,1.2,96.5,83971,441543
모리타니????,35819,841,22,768,34210,2.1,95.5,7704,4649658
시리아????,32580,6924,N/A,2198,23458,6.7,72,1862,17500658
가이아나????,30907,3907,33,754,26246,2.4,84.9,39294,786552
기니????,30348,1268,24,377,28703,1.2,94.6,2311,13132795
가봉????,29126,2407,23,178,26541,0.6,91.1,13086,2225734
토고????,25163,2914,N/A,222,22027,0.9,87.5,3039,8278724
베냉????,22958,5510,5,154,17294,0.7,75.3,1894,12123200
아이티????,21540,1582,N/A,610,19348,2.8,89.8,1889,11402528
라오스????,21527,15943,N/A,16,5568,0.1,25.9,2959,7275560
세이셸????,21257,485,N/A,115,20657,0.5,97.2,216143,98347
바하마????,20603,1816,15,522,18265,2.5,88.7,52392,393244
마요트????,20219,17077,N/A,178,2964,0.9,14.7,74112,272815
소말리아????,19723,9206,N/A,1103,9414,5.6,47.7,1241,15893222
벨리즈????,19600,1951,10,402,17247,2.1,88,49292,397628
동티모르????,19350,1045,N/A,113,18192,0.6,94,14676,1318445
파푸아뉴기니????,19278,799,7,225,18254,1.2,94.7,2155,8947024
타지키스탄????,17084,0,N/A,124,16960,0.7,99.3,1791,9537645
부룬디????,16356,15545,N/A,38,773,0.2,4.7,1376,11890784
퀴라소????,16339,466,4,160,15713,1,96.2,99572,164093
대만????,16181,1598,N/A,841,13742,5.2,84.9,679,23816775
아루바????,15405,270,7,165,14970,1.1,97.2,144288,106766
안도라????,15167,71,4,130,14966,0.9,98.7,196298,77265
모리셔스????,15161,13236,N/A,71,1854,0.5,12.2,11921,1271768
말리????,15153,346,N/A,547,14260,3.6,94.1,748,20250833
레소토????,14395,7162,N/A,403,6830,2.8,47.4,6720,2142249
부르키나파소????,14131,151,N/A,180,13800,1.3,97.7,676,20903273
콩고공화국????,14113,1501,N/A,191,12421,1.4,88,2558,5518087
니카라과????,13730,9302,N/A,203,4225,1.5,30.8,2073,6624554
지부티????,12253,253,N/A,162,11838,1.3,96.6,12402,988000
홍콩????,12185,81,N/A,213,11891,1.7,97.6,1625,7496981
남수단????,11926,423,4,128,11375,1.1,95.4,1065,11193725
적도 기니????,11806,1439,1,142,10225,1.2,86.6,8415,1402985
아이슬란드????,11632,348,3,33,11251,0.3,96.7,34087,341243
중앙아프리카 공화국????,11371,4412,2,100,6859,0.9,60.3,2354,4829767
세인트루시아????,11053,2212,13,183,8658,1.7,78.3,60193,183627
감비아????,9911,28,3,335,9548,3.4,96.3,4101,2416668
예멘????,8891,1709,23,1682,5500,18.9,61.9,298,29825964
바베이도스????,7401,974,N/A,64,6363,0.9,86,25754,287375
맨섬????,7364,523,1,51,6790,0.7,92.2,86602,85033
에리트레아????,6694,24,N/A,42,6628,0.6,99,1888,3546421
시에라리온????,6393,1892,N/A,121,4380,1.9,68.5,801,7976983
브루나이????,6286,2061,31,37,4188,0.6,66.6,14369,437479
기니비사우????,6099,681,4,135,5283,2.2,86.6,3099,1968001
니제르????,5974,50,N/A,201,5723,3.4,95.8,247,24206644
뉴칼레도니아????,5959,5829,56,72,58,1.2,1,20872,285498
라이베리아????,5782,41,2,283,5458,4.9,94.4,1143,5057681
지브롤터????,5510,67,2,97,5346,1.8,97,163545,33691
산마리노????,5419,60,2,90,5269,1.7,97.2,159706,33931
차드????,5031,7,N/A,174,4850,3.5,96.4,306,16425864
버뮤다????,4982,1612,1,52,3318,1,66.6,79996,62278
그레나다????,4829,2034,N/A,116,2679,2.4,55.5,42916,112523
신트마르턴????,4213,166,10,63,3984,1.5,94.6,98260,42876
뉴질랜드????,4183,225,5,27,3931,0.6,94,867,4822233
코모로????,4112,12,N/A,147,3953,3.6,96.1,4729,869601
세인트마틴 섬????,3727,2273,7,55,1399,1.5,37.5,96390,38666
리히텐슈타인????,3439,43,1,60,3336,1.7,97,90196,38128
상투메 프린시페????,3338,614,N/A,49,2675,1.5,80.1,15231,219159
모나코????,3303,29,6,33,3241,1,98.1,84170,39242
세인트빈센트 그레나딘????,3247,860,2,17,2370,0.5,73,29268,110940
도미니카 연방????,3197,545,N/A,13,2639,0.4,82.5,44411,71986
앤티가 바부다????,2902,984,9,64,1854,2.2,63.9,29634,97929
터크스 케이커스 제도????,2830,60,1,22,2748,0.8,97.1,73095,38717
영국령 버진아일랜드????,2642,50,7,37,2555,1.4,96.7,87394,30231
부탄????,2599,3,N/A,3,2593,0.1,99.8,3368,771608
카리브 네덜란드????,2010,74,N/A,18,1918,0.9,95.4,76650,26223
세인트키츠 네비스????,1800,820,1,10,970,0.6,53.9,33835,53199
생바르텔레미????,1565,1100,N/A,3,462,0.2,29.5,158449,9877
탄자니아????,1367,1134,7,50,183,3.7,13.4,23,59734218
페로 제도????,1115,69,1,2,1044,0.2,93.6,22819,48863
케이맨 제도????,795,46,N/A,2,747,0.3,94,12096,65722
그린란드????,553,155,2,0,398,-,72,9741,56770
왈리스 퓌티나????,445,0,N/A,7,438,1.6,98.4,-,-
앵귈라????,364,18,N/A,1,345,0.3,94.8,24262,15003
포클랜드 제도????,67,4,N/A,0,63,-,94,19253,3480
마카오????,66,3,N/A,0,63,-,95.5,102,649335
몬트세랫????,33,2,N/A,1,30,3,90.9,6611,4992
생피에르 미클롱????,31,0,N/A,0,31,-,100,5350,5794
바티칸 시국????,27,0,N/A,0,27,-,100,33708,801
솔로몬 제도????,20,0,N/A,0,20,-,100,29,686884
서사하라????,10,1,N/A,1,8,10,80,17,597339
잔담??,9,0,N/A,2,7,22.2,77.8,-,-
팔라우????,5,0,N/A,0,5,-,100,276,18094
마셜 제도????,4,0,N/A,0,4,-,100,68,59190
바누아투????,4,0,N/A,1,3,25,75,13,307145
사모아????,3,0,N/A,0,3,-,100,15,198414
세인트헬레나????,2,0,N/A,0,2,-,100,329,6077
미크로네시아????,1,0,N/A,0,1,-,100,9,115023
